#q 	 Iexp 	 Ifit_avg 	 Residuals_avg 	 Ifit_weightedavg 	 Residuals_weightedavg 
6.807200e-02 	1.000600e-04 	9.142565e-05 	4.182450e+00 	1.005410e-04 	-2.330190e-01 
6.837200e-02 	1.061400e-04 	9.045544e-05 	7.538786e+00 	9.952130e-05 	3.181281e+00 
6.867200e-02 	9.964000e-05 	8.949740e-05 	4.754586e+00 	9.851338e-05 	5.281289e-01 
6.897100e-02 	1.039700e-04 	8.855149e-05 	7.478908e+00 	9.751724e-05 	3.129981e+00 
6.927100e-02 	1.026300e-04 	8.761751e-05 	7.278208e+00 	9.653265e-05 	2.956059e+00 
6.957100e-02 	9.815000e-05 	8.669533e-05 	5.674493e+00 	9.555947e-05 	1.283316e+00 
6.987100e-02 	9.918000e-05 	8.578498e-05 	6.493210e+00 	9.459781e-05 	2.221205e+00 
7.017100e-02 	9.595000e-05 	8.488628e-05 	5.413723e+00 	9.364744e-05 	1.126691e+00 
7.047100e-02 	9.921000e-05 	8.399912e-05 	7.236835e+00 	9.270829e-05 	3.093298e+00 
7.077000e-02 	9.660000e-05 	8.312339e-05 	6.419074e+00 	9.178021e-05 	2.295726e+00 
7.107000e-02 	8.902000e-05 	8.225890e-05 	3.291666e+00 	9.086309e-05 	-8.973152e-01 
7.137000e-02 	8.910000e-05 	8.140570e-05 	3.644741e+00 	8.995687e-05 	-4.058931e-01 
7.167000e-02 	9.218000e-05 	8.056352e-05 	5.753390e+00 	8.906139e-05 	1.544578e+00 
7.197000e-02 	9.057000e-05 	7.973223e-05 	5.336149e+00 	8.817648e-05 	1.178489e+00 
7.227000e-02 	8.792000e-05 	7.891183e-05 	4.467920e+00 	8.730212e-05 	3.064583e-01 
7.257000e-02 	8.739000e-05 	7.810214e-05 	4.644787e+00 	8.643814e-05 	4.760171e-01 
7.286900e-02 	9.081000e-05 	7.730296e-05 	6.564999e+00 	8.558432e-05 	2.539906e+00 
7.316900e-02 	8.722000e-05 	7.651433e-05 	5.285110e+00 	8.474081e-05 	1.223910e+00 
7.346900e-02 	8.366000e-05 	7.573600e-05 	4.000517e+00 	8.390725e-05 	-1.248293e-01 
7.376900e-02 	8.153000e-05 	7.496780e-05 	3.320914e+00 	8.308353e-05 	-7.861894e-01 
7.406900e-02 	8.647000e-05 	7.420979e-05 	6.144896e+00 	8.226969e-05 	2.105221e+00 
7.436900e-02 	8.316000e-05 	7.346178e-05 	4.634902e+00 	8.146550e-05 	8.098236e-01 
7.466800e-02 	8.234000e-05 	7.272355e-05 	4.683514e+00 	8.067085e-05 	8.129303e-01 
7.496800e-02 	8.350000e-05 	7.199504e-05 	5.712352e+00 	7.988553e-05 	1.794627e+00 
7.526800e-02 	7.984000e-05 	7.127624e-05 	3.953916e+00 	7.910976e-05 	3.371543e-01 
7.556800e-02 	7.948000e-05 	7.056692e-05 	4.748091e+00 	7.834312e-05 	6.056282e-01 
7.586800e-02 	7.855000e-05 	6.986705e-05 	4.231220e+00 	7.758565e-05 	4.699284e-01 
7.616800e-02 	7.595000e-05 	6.917645e-05 	3.428951e+00 	7.683720e-05 	-4.491225e-01 
7.646700e-02 	7.932000e-05 	6.849507e-05 	5.308188e+00 	7.609761e-05 	1.580151e+00 
7.676700e-02 	7.594000e-05 	6.782283e-05 	4.107915e+00 	7.536701e-05 	2.899781e-01 
7.706700e-02 	7.867000e-05 	6.715953e-05 	5.657798e+00 	7.464508e-05 	1.978389e+00 
7.736700e-02 	7.996000e-05 	6.650507e-05 	6.573028e+00 	7.393171e-05 	2.944952e+00 
7.766700e-02 	7.523000e-05 	6.585943e-05 	4.855077e+00 	7.322689e-05 	1.037850e+00 
7.796700e-02 	7.640000e-05 	6.522241e-05 	5.349293e+00 	7.253045e-05 	1.851860e+00 
7.826600e-02 	7.357000e-05 	6.459405e-05 	4.571308e+00 	7.184246e-05 	8.798072e-01 
7.856600e-02 	7.531000e-05 	6.397414e-05 	5.623135e+00 	7.116274e-05 	2.057240e+00 
