# Nygaard Kirkwood HullRad SAXS_weights
3.238954619180321792e+00 2.635185241699218750e+00 3.244000000000000217e+00 4.784500000000000016e-05
2.765945433355387895e+00 2.248324394226074219e+00 3.422000000000000153e+00 4.080799999999999960e-05
3.202828263301342737e+00 2.573563098907470703e+00 3.677999999999999936e+00 7.284200000000000494e-05
3.354530157255887879e+00 2.577413320541381836e+00 3.120999999999999996e+00 3.138499999999999851e-05
3.593458770356340981e+00 2.853318691253662109e+00 3.069999999999999840e+00 2.269100000000000010e-05
3.108390485802160264e+00 2.431728363037109375e+00 3.088000000000000078e+00 3.135099999999999850e-05
2.949143324230273144e+00 2.332533597946166992e+00 3.287999999999999812e+00 3.799400000000000249e-05
3.311959680210162738e+00 2.521865606307983398e+00 3.435000000000000053e+00 4.374500000000000214e-05
3.109583322351737511e+00 2.421747446060180664e+00 3.338000000000000078e+00 4.861900000000000325e-05
2.936726474511293539e+00 2.372261524200439453e+00 3.152000000000000135e+00 3.088600000000000210e-05
3.671426293044105282e+00 2.749639511108398438e+00 3.686999999999999833e+00 6.596100000000000086e-05
2.884196849115121974e+00 2.349162578582763672e+00 3.819999999999999840e+00 7.133099999999999857e-05
3.376843474858012062e+00 2.688926219940185547e+00 4.402000000000000135e+00 9.484799999999999720e-05
3.048810705080607697e+00 2.482645273208618164e+00 3.722999999999999865e+00 7.207699999999999448e-05
2.845318315871644632e+00 2.311685085296630859e+00 3.564000000000000057e+00 5.683699999999999809e-05
3.150238054849511471e+00 2.501347780227661133e+00 3.225999999999999979e+00 2.667000000000000046e-05
3.615027151592459465e+00 2.966496706008911133e+00 3.317000000000000171e+00 3.490400000000000327e-05
3.522341973896510492e+00 2.751071453094482422e+00 3.391000000000000014e+00 4.374899999999999736e-05
3.375895603797661515e+00 2.760967731475830078e+00 3.769000000000000128e+00 8.324200000000000024e-05
3.071442839470792663e+00 2.491867065429687500e+00 3.531000000000000139e+00 6.148600000000000051e-05
3.601599775547382531e+00 2.773540496826171875e+00 3.189000000000000057e+00 4.076900000000000218e-05
3.779690111577959755e+00 3.124401330947875977e+00 3.068999999999999950e+00 2.389599999999999957e-05
3.788191084407194431e+00 3.099884510040283203e+00 3.064000000000000057e+00 3.001100000000000116e-05
3.676558161441644934e+00 3.072656393051147461e+00 3.080000000000000071e+00 2.496699999999999999e-05
3.459795498922630053e+00 2.779110431671142578e+00 3.678999999999999826e+00 4.658599999999999747e-05
3.696521287709207293e+00 2.968538284301757812e+00 3.580000000000000071e+00 4.917899999999999789e-05
3.441893812699119426e+00 2.727331876754760742e+00 3.503000000000000114e+00 4.553599999999999906e-05
2.795965394434833495e+00 2.301737785339355469e+00 3.298000000000000043e+00 4.032499999999999762e-05
2.913360124955432617e+00 2.333698749542236328e+00 3.190999999999999837e+00 3.195800000000000133e-05
2.555470078633544695e+00 2.108836650848388672e+00 3.105999999999999872e+00 2.979399999999999968e-05
3.268739414425775092e+00 2.674698352813720703e+00 3.047000000000000153e+00 2.995200000000000054e-05
3.500883650214062559e+00 2.856559514999389648e+00 3.271999999999999797e+00 4.115899999999999675e-05
3.274525852065383269e+00 2.753284692764282227e+00 3.521999999999999797e+00 4.867499999999999729e-05
2.995953974193923397e+00 2.447180271148681641e+00 4.067999999999999616e+00 7.963900000000000102e-05
2.788799345741792557e+00 2.336469173431396484e+00 3.354999999999999982e+00 3.795199999999999849e-05
3.434702503547185870e+00 2.891494989395141602e+00 3.177000000000000046e+00 3.526200000000000222e-05
2.778101717007024796e+00 2.297652244567871094e+00 3.083000000000000185e+00 2.621300000000000127e-05
3.040376979344655783e+00 2.457418203353881836e+00 3.962000000000000188e+00 7.435199999999999557e-05
