# Nygaard Kirkwood HullRad SAXS_weights
4.268953946687660483e+00 3.674630403518676758e+00 5.081000000000000405e+00 2.292699999999999919e-05
4.344482446137396536e+00 3.692366123199462891e+00 5.644000000000000128e+00 3.922100000000000277e-05
4.754396265963879209e+00 3.942025661468505859e+00 5.834999999999999964e+00 7.377299999999999993e-05
5.027733426867438737e+00 4.120237827301025391e+00 5.551000000000000156e+00 5.123300000000000228e-05
5.033500234725741151e+00 4.095673561096191406e+00 4.899000000000000021e+00 2.042900000000000041e-05
4.938315726961103103e+00 4.043082714080810547e+00 4.472000000000000419e+00 9.374499999999999776e-06
4.558553239251249778e+00 3.815774440765380859e+00 6.017000000000000348e+00 6.695499999999999846e-05
5.064001416930312693e+00 4.025148391723632812e+00 4.477999999999999758e+00 1.223800000000000040e-05
5.626247205809898233e+00 4.382898330688476562e+00 4.857000000000000206e+00 1.947300000000000143e-05
5.886772017070580176e+00 4.558093547821044922e+00 5.661999999999999922e+00 3.381500000000000066e-05
6.342962120847538188e+00 4.921735763549804688e+00 5.996999999999999886e+00 8.314500000000000438e-05
6.445433865085878899e+00 5.015344619750976562e+00 6.169999999999999929e+00 5.415600000000000123e-05
6.406750084616004592e+00 5.138099193572998047e+00 5.955000000000000071e+00 3.831200000000000182e-05
6.155115015270133050e+00 4.677682876586914062e+00 5.690000000000000391e+00 4.009399999999999932e-05
5.757261600815623659e+00 4.670759201049804688e+00 5.506000000000000227e+00 4.191500000000000103e-05
5.258314416121247170e+00 4.272470951080322266e+00 5.788999999999999702e+00 4.831699999999999835e-05
5.164946429725949528e+00 4.156762599945068359e+00 6.786999999999999922e+00 6.280699999999999684e-05
5.117546757645894395e+00 4.210758209228515625e+00 5.642000000000000348e+00 5.415900000000000103e-05
5.336972032875379135e+00 4.492763519287109375e+00 7.059000000000000163e+00 8.135599999999999830e-05
5.228341544317105516e+00 4.424430370330810547e+00 7.330000000000000071e+00 1.220899999999999915e-04
5.109589482704785190e+00 4.146696567535400391e+00 6.126000000000000334e+00 4.580099999999999737e-05
5.456005665207219302e+00 4.648034095764160156e+00 6.293999999999999595e+00 6.030300000000000184e-05
5.410432431681436505e+00 4.317807197570800781e+00 6.275000000000000355e+00 6.808399999999999392e-05
