# Nygaard Kirkwood HullRad SAXS_weights
2.579492878261470779e+00 1.994573593139648438e+00 2.451000000000000068e+00 1.965100000000000040e-06
3.623257356703022847e+00 2.850071907043457031e+00 3.435999999999999943e+00 2.742399999999999764e-04
2.763106153988776459e+00 2.177050113677978516e+00 2.592999999999999972e+00 1.385600000000000083e-05
2.566453663527668461e+00 2.063664436340332031e+00 2.464999999999999858e+00 4.402199999999999966e-06
3.080647116889390080e+00 2.582044839859008789e+00 3.063000000000000167e+00 2.385900000000000043e-04
2.656355614891857897e+00 2.100893259048461914e+00 2.521999999999999797e+00 7.262000000000000097e-06
2.808390222543663661e+00 2.237693548202514648e+00 2.705999999999999961e+00 1.744799999999999964e-05
2.934554865221976616e+00 2.346745967864990234e+00 2.960999999999999854e+00 4.093000000000000284e-05
2.731265756319735782e+00 2.168417215347290039e+00 2.660000000000000142e+00 1.013299999999999938e-05
3.024906095117362081e+00 2.372938871383666992e+00 2.798000000000000043e+00 4.483399999999999799e-05
2.805056534164224846e+00 2.129636287689208984e+00 2.682999999999999829e+00 5.056199999999999973e-06
2.981667169300222575e+00 2.386303424835205078e+00 2.866000000000000103e+00 5.727200000000000324e-05
2.785120188900729321e+00 2.258815765380859375e+00 2.596000000000000085e+00 3.192499999999999673e-05
2.739552042853825142e+00 2.204122066497802734e+00 2.797000000000000153e+00 1.750900000000000126e-05
3.204880479752252764e+00 2.466754913330078125e+00 2.891999999999999904e+00 8.672200000000000080e-05
2.742709223909214344e+00 2.006280660629272461e+00 2.480999999999999872e+00 8.266800000000000201e-06
2.704604073535500142e+00 2.129829406738281250e+00 2.678999999999999826e+00 1.312800000000000035e-05
2.775166687739523574e+00 2.378001213073730469e+00 2.810999999999999943e+00 9.595399999999999644e-05
2.790340031360556416e+00 2.225804090499877930e+00 2.762000000000000011e+00 2.433799999999999974e-05
3.020976724976016659e+00 2.187173128128051758e+00 2.660000000000000142e+00 1.512099999999999973e-05
2.943253659629998076e+00 2.240853071212768555e+00 2.677000000000000046e+00 1.731100000000000078e-05
2.879248167305899386e+00 2.297581195831298828e+00 2.817000000000000171e+00 4.901299999999999982e-05
2.858747243012691008e+00 2.421565055847167969e+00 2.797000000000000153e+00 7.093200000000000460e-05
2.431691607654889786e+00 1.899340867996215820e+00 2.359999999999999876e+00 1.670699999999999945e-06
2.733884531512584370e+00 2.167674541473388672e+00 2.592999999999999972e+00 1.460099999999999963e-05
2.270427930081158507e+00 1.811586022377014160e+00 2.241000000000000103e+00 1.926600000000000060e-07
3.286441847141583938e+00 2.696486711502075195e+00 3.327999999999999847e+00 2.286500000000000012e-04
3.171247317035053914e+00 2.461925268173217773e+00 3.083000000000000185e+00 1.153799999999999965e-04
3.078242258294463962e+00 2.521602392196655273e+00 3.100000000000000089e+00 1.411600000000000105e-04
3.294263501261732507e+00 2.653611898422241211e+00 3.233000000000000096e+00 2.249100000000000133e-04
2.495893621491619196e+00 1.942788720130920410e+00 2.410000000000000142e+00 2.265599999999999958e-06
2.997931890808590794e+00 2.277576684951782227e+00 2.750000000000000000e+00 4.373600000000000274e-05
2.275396548090180104e+00 1.822350382804870605e+00 2.278000000000000025e+00 5.785600000000000138e-07
2.808113874028378198e+00 2.151246547698974609e+00 2.787999999999999812e+00 1.122900000000000040e-05
3.049876890803290941e+00 2.375249862670898438e+00 2.956999999999999851e+00 5.029400000000000331e-05
3.016027817041631476e+00 2.320724725723266602e+00 2.822999999999999954e+00 4.244000000000000024e-05
2.997974390698272096e+00 2.417696237564086914e+00 2.962000000000000188e+00 7.986400000000000649e-05
3.125106495090377745e+00 2.473455190658569336e+00 3.055000000000000160e+00 7.117699999999999971e-05
2.833869748002286748e+00 2.200089454650878906e+00 2.641000000000000014e+00 1.414100000000000064e-05
2.580709102450713388e+00 2.027281045913696289e+00 2.556999999999999940e+00 3.225699999999999880e-06
2.629542650954808547e+00 2.016782999038696289e+00 2.645000000000000018e+00 4.455200000000000136e-06
3.003274907050061504e+00 2.357066869735717773e+00 2.795999999999999819e+00 6.018999999999999801e-05
2.697233778669658300e+00 2.029091119766235352e+00 2.524999999999999911e+00 5.370999999999999906e-06
3.275565277856067326e+00 2.491393566131591797e+00 2.951000000000000068e+00 1.005599999999999994e-04
3.140039344162619983e+00 2.540570735931396484e+00 2.923999999999999932e+00 2.051800000000000108e-04
2.552839771554610060e+00 2.103299856185913086e+00 2.560999999999999943e+00 4.956200000000000083e-06
3.153786814335587607e+00 2.449421167373657227e+00 3.064999999999999947e+00 1.441400000000000125e-04
2.835774511357576078e+00 2.237669467926025391e+00 2.624000000000000110e+00 2.438899999999999976e-05
2.692227503379294173e+00 1.973125100135803223e+00 2.414000000000000146e+00 2.102699999999999790e-06
2.447250389023958750e+00 2.031612634658813477e+00 2.459999999999999964e+00 2.208399999999999896e-06
3.348674639624592775e+00 2.695392370223999023e+00 3.330000000000000071e+00 2.048999999999999932e-04
2.463538471307712197e+00 2.012061119079589844e+00 2.398000000000000131e+00 3.288299999999999925e-06
2.834294166905700241e+00 2.247283220291137695e+00 2.914000000000000146e+00 3.399500000000000232e-05
3.321719346909453918e+00 2.551977634429931641e+00 3.057999999999999829e+00 1.335700000000000103e-04
2.913161519453980386e+00 2.327956199645996094e+00 2.787999999999999812e+00 5.298699999999999938e-05
3.132328140959065976e+00 2.561663627624511719e+00 3.148000000000000131e+00 1.377899999999999936e-04
2.753658082852700417e+00 2.147376060485839844e+00 2.646999999999999797e+00 1.218400000000000058e-05
3.182061706554036640e+00 2.543580293655395508e+00 3.092000000000000082e+00 1.405199999999999895e-04
2.646616118415347607e+00 2.159253597259521484e+00 2.592999999999999972e+00 1.946699999999999844e-05
2.766592507851189264e+00 2.213374853134155273e+00 2.745000000000000107e+00 2.474899999999999970e-05
2.604863493602908697e+00 2.194264650344848633e+00 2.539000000000000146e+00 1.910399999999999870e-05
2.817118588004000834e+00 2.305634021759033203e+00 2.842999999999999972e+00 2.468600000000000048e-05
2.385745485372035457e+00 1.966548800468444824e+00 2.329000000000000181e+00 1.614899999999999988e-06
2.849045045018702371e+00 2.317095756530761719e+00 2.884999999999999787e+00 3.314699999999999960e-05
2.499360414115983531e+00 1.976362466812133789e+00 2.365000000000000213e+00 2.663700000000000009e-06
2.769087794895090493e+00 2.261554479598999023e+00 2.684000000000000163e+00 3.883199999999999684e-05
3.002043657626370710e+00 2.335679054260253906e+00 2.915999999999999925e+00 4.658100000000000006e-05
3.605369377078749604e+00 2.848644733428955078e+00 3.403999999999999915e+00 3.109699999999999856e-04
2.739790186853712672e+00 2.141579151153564453e+00 2.593999999999999861e+00 1.384500000000000043e-05
3.083229490802676942e+00 2.523291587829589844e+00 3.063000000000000167e+00 1.291099999999999887e-04
2.369243343436602256e+00 1.845413804054260254e+00 2.346000000000000085e+00 1.003199999999999983e-06
2.694519996538024209e+00 2.000259399414062500e+00 2.525999999999999801e+00 4.648300000000000032e-06
3.078167692209915707e+00 2.537719488143920898e+00 3.141000000000000014e+00 9.796199999999999483e-05
3.461729332857409247e+00 2.885773181915283203e+00 3.576000000000000068e+00 4.582799999999999829e-04
2.430319809319388291e+00 1.992492318153381348e+00 2.375999999999999890e+00 2.261499999999999862e-06
2.905961365087240900e+00 2.209958314895629883e+00 2.652000000000000135e+00 9.069899999999999339e-06
2.453410179573524807e+00 1.934908747673034668e+00 2.350999999999999979e+00 9.101799999999999618e-07
2.661155511575723498e+00 2.118771553039550781e+00 2.556999999999999940e+00 8.866600000000000794e-06
2.947509470684454680e+00 2.295460939407348633e+00 2.911999999999999922e+00 4.736499999999999798e-05
2.763653060936015926e+00 2.139013051986694336e+00 2.656000000000000139e+00 1.603600000000000029e-05
3.105145267909590778e+00 2.396343708038330078e+00 2.818999999999999950e+00 4.747599999999999742e-05
3.216321213872169071e+00 2.528179407119750977e+00 3.190999999999999837e+00 1.725099999999999865e-04
2.617249796629637082e+00 2.086910247802734375e+00 2.564000000000000057e+00 6.593599999999999856e-06
3.184005079016373863e+00 2.526248931884765625e+00 3.023000000000000131e+00 1.498000000000000091e-04
3.414494210901258153e+00 2.795095443725585938e+00 3.451000000000000068e+00 4.215499999999999738e-04
3.229062088714684364e+00 2.685006618499755859e+00 3.293000000000000149e+00 3.175799999999999782e-04
3.102975804045601915e+00 2.462966203689575195e+00 2.971000000000000085e+00 1.097100000000000050e-04
2.884050055913744970e+00 2.328155279159545898e+00 2.761000000000000121e+00 4.739100000000000078e-05
2.767787419530808535e+00 2.224064826965332031e+00 2.533999999999999808e+00 1.807900000000000089e-05
3.252838521310579267e+00 2.458007574081420898e+00 3.048999999999999932e+00 3.238500000000000249e-05
2.746629222899289680e+00 2.122378587722778320e+00 2.604999999999999982e+00 1.329200000000000081e-05
2.500352467899525699e+00 2.081867456436157227e+00 2.580999999999999961e+00 2.729299999999999856e-06
3.256019622352922305e+00 2.669067621231079102e+00 3.164000000000000146e+00 3.628999999999999847e-04
2.286957035927598803e+00 1.889798998832702637e+00 2.299999999999999822e+00 5.761299999999999583e-07
3.358570900453541785e+00 2.817633628845214844e+00 3.266000000000000014e+00 5.138700000000000385e-04
3.052586801525858817e+00 2.546107530593872070e+00 3.104000000000000092e+00 2.290399999999999890e-04
3.196932212196775147e+00 2.676512479782104492e+00 3.206999999999999851e+00 3.068799999999999892e-04
2.823479257514285745e+00 2.214175939559936523e+00 2.716000000000000192e+00 2.590200000000000035e-05
2.300063369910176014e+00 1.814043283462524414e+00 2.206999999999999851e+00 2.730800000000000074e-07
3.057929178805266712e+00 2.314810991287231445e+00 2.869000000000000217e+00 2.750600000000000058e-05
2.573563615332494781e+00 2.035729169845581055e+00 2.483000000000000096e+00 3.902000000000000080e-06
2.633224890280339459e+00 2.153618335723876953e+00 2.600000000000000089e+00 1.640900000000000163e-05
2.887111696948464257e+00 2.243799209594726562e+00 2.876999999999999780e+00 1.425099999999999959e-05
2.465928959593434389e+00 1.918599724769592285e+00 2.369000000000000217e+00 1.080500000000000073e-06
2.976263455333000962e+00 2.577161788940429688e+00 3.085999999999999854e+00 2.203600000000000112e-04
2.394056330786544784e+00 1.826512813568115234e+00 2.382000000000000117e+00 7.773100000000000167e-07
2.586034955285195558e+00 2.009079933166503906e+00 2.467999999999999972e+00 4.799299999999999942e-06
3.291396835518671793e+00 2.392818212509155273e+00 2.807999999999999829e+00 8.247299999999999456e-05
3.175003093447482438e+00 2.582107305526733398e+00 3.125000000000000000e+00 2.565800000000000134e-04
2.557519688340045061e+00 1.942310929298400879e+00 2.386000000000000121e+00 1.853299999999999900e-06
2.628196034201212505e+00 2.121860742568969727e+00 2.560999999999999943e+00 6.131999999999999905e-06
2.625116187725242245e+00 2.074441194534301758e+00 2.559000000000000163e+00 7.937499999999999813e-06
3.101534764213349948e+00 2.411931753158569336e+00 2.869000000000000217e+00 5.676800000000000265e-05
3.465577487364861042e+00 2.634626865386962891e+00 3.165999999999999925e+00 1.946200000000000035e-04
2.687355646062174586e+00 2.093723297119140625e+00 2.551000000000000156e+00 8.231500000000000725e-06
2.665982359608241037e+00 2.134064197540283203e+00 2.605999999999999872e+00 5.908400000000000046e-06
3.063836016424483777e+00 2.412368774414062500e+00 3.024999999999999911e+00 5.698799999999999715e-05
3.178269828889119797e+00 2.709253072738647461e+00 3.326000000000000068e+00 4.223499999999999932e-04
2.302873016350477364e+00 1.830877065658569336e+00 2.388999999999999790e+00 5.946900000000000398e-07
2.674872074860166205e+00 2.141606330871582031e+00 2.733000000000000096e+00 6.462500000000000383e-06
2.874981118653914258e+00 2.190464496612548828e+00 2.644000000000000128e+00 1.919699999999999933e-05
2.755118402356411256e+00 2.299539089202880859e+00 2.850999999999999979e+00 1.955600000000000047e-05
2.819065747911487563e+00 2.229094266891479492e+00 2.666999999999999815e+00 2.976800000000000027e-05
2.984820416569781365e+00 2.272532701492309570e+00 2.701999999999999957e+00 3.448600000000000152e-05
3.122597443639885562e+00 2.416865825653076172e+00 2.863999999999999879e+00 8.083800000000000089e-05
3.240130414340838705e+00 2.497367382049560547e+00 2.924999999999999822e+00 9.288199999999999603e-05
2.480405832278950395e+00 2.025282859802246094e+00 2.439999999999999947e+00 2.879199999999999894e-06
2.750285369074499719e+00 1.944909095764160156e+00 2.483000000000000096e+00 1.195300000000000016e-06
3.283189388167795819e+00 2.515494108200073242e+00 3.150999999999999801e+00 1.294699999999999920e-04
2.806990532961230578e+00 2.235558509826660156e+00 2.722999999999999865e+00 3.516799999999999939e-05
2.686870055719191352e+00 2.113054037094116211e+00 2.520999999999999908e+00 7.278799999999999665e-06
3.319683587682673132e+00 2.724689960479736328e+00 3.201999999999999957e+00 3.085000000000000177e-04
2.640801770822845729e+00 2.002538919448852539e+00 2.484999999999999876e+00 4.793700000000000368e-06
3.266030836907916068e+00 2.610205173492431641e+00 3.244000000000000217e+00 2.532100000000000236e-04
2.965887379698293635e+00 2.335997581481933594e+00 2.846999999999999975e+00 4.152300000000000207e-05
3.399777945041905447e+00 2.727544069290161133e+00 3.370000000000000107e+00 3.724099999999999936e-04
3.145763196369869785e+00 2.563604354858398438e+00 3.150999999999999801e+00 1.278300000000000009e-04
2.304223147966258267e+00 1.794801473617553711e+00 2.193999999999999950e+00 6.285400000000000418e-07
2.613673791289463644e+00 2.116696596145629883e+00 2.600000000000000089e+00 7.896399999999999478e-06
2.686283545436844555e+00 2.232108116149902344e+00 2.766000000000000014e+00 2.323599999999999911e-05
3.311105549302826745e+00 2.452768325805664062e+00 3.083000000000000185e+00 1.030199999999999996e-04
